Word,Intensity
im,1.0
want,0.5329627602891622
know,0.4704933613663201
feel,0.4681316782350739
life,0.4174706949684629
time,0.3813830246824688
one,0.37988537196509314
even,0.3311540566227931
people,0.3307220414158578
ive,0.32516344575329054
friend,0.30606837360675093
year,0.304052302641053
cant,0.30085539010973184
really,0.2933959275366493
thing,0.28248034330808447
day,0.27392644221076584
think,0.26125399614066414
make,0.24331096454595202
never,0.2313297428069468
going,0.22937127386884018
go,0.22749920797212062
dont,0.22551193802021832
much,0.2173324501022436
help,0.1987269951902307
good,0.19636531205898447
way,0.18274243253362518
see,0.17274848074652227
thought,0.170300394573889
got,0.16534662020103108
br,0.16157368739379627
love,0.15817516776590537
still,0.15566947956568072
back,0.15474784712421877
live,0.1532789954206388
anything,0.15278937818611216
someone,0.15123412344114512
need,0.1492756545030385
say,0.1486996342271248
end,0.1460787419717174
something,0.14455228824054606
anymore,0.14319864059214885
alway,0.1425074162610524
fucking,0.14201779902652573
work,0.14141297773681633
school,0.1410961665850638
family,0.13876328446761327
better,0.1386480804124305
everything,0.1385328763572478
film,0.13758244290199015
movie,0.1358831830880447
every,0.13573917801906626
nothing,0.1344719334120561
anyone,0.13259986751533653
take,0.12859652659773624
talk,0.12839491950116644
die,0.12738688401831744
right,0.12378675729385674
feeling,0.12073384983151407
hate,0.11883298292099882
kill,0.11776734541055846
last,0.11601048356902163
ill,0.113043979148066
bad,0.11301517813427032
care,0.11278477002390484
everyone,0.11212234670660408
well,0.11197834163762564
redflag,0.11143112237550762
first,0.10984706661674491
tell,0.10857982200973475
job,0.10837821491316495
made,0.10757178652688575
keep,0.10731257740272458
shit,0.1066501540854238
point,0.10535410846461796
told,0.10345324155410271
now,0.10330923648512427
person,0.10258921114023213
parent,0.10149477261599608
find,0.09979551280205064
lot,0.0994499006365024
month,0.09861467123642752
around,0.0968578093948907
long,0.09682900838109501
getting,0.09622418709138561
best,0.0956481668154719
try,0.09556176377408485
give,0.09533135566371936
said,0.09533135566371936
tried,0.09357449382218254
girl,0.0930560755738602
filler,0.09291207050488177
thats,0.09227844820137669
guy,0.09207684110480689
many,0.09190403502203277
happy,0.09127041271852769
come,0.09112640764954927
reason,0.08830390829757208
away,0.08769908700786268
enough,0.08634543935946545
world,0.08527980184902509
trying,0.08479018461449843
week,0.08479018461449843
fuck,0.08317732784194004
hard,0.08234209844186516
u,0.08202528729011262
done,0.08179487917974712
seem,0.08107485383485499
pain,0.08087324673828519
little,0.07989401226923187
look,0.07949079807609227
alone,0.07871317070360877
wanted,0.07871317070360877
two,0.07750352812418997
maybe,0.07747472711039428
stop,0.07689870683448058
started,0.07672590075170646
tired,0.0762362835171798
depression,0.07617868148958844
new,0.07597707439301864
let,0.07442181964805161
though,0.07442181964805161
mom,0.07367299328936379
living,0.07214653955819245
old,0.07208893753060108
actually,0.07208893753060108
wish,0.07191613144782696
great,0.07180092739264422
ago,0.07108090204775208
hurt,0.07087929495118228
sure,0.0708216929235909
felt,0.07079289190979522
without,0.07067768785461248
post,0.07027447366147288
another,0.0696408513579678
home,0.06935284122001094
please,0.06929523919241957
night,0.06920883615103252
hope,0.06874801993030155
problem,0.06817199965438783
today,0.06782638748883961
went,0.06765358140606549
suicidal,0.06707756113015179
worse,0.06673194896460355
left,0.06589671956452867
probably,0.06560870942657182
put,0.06560870942657182
thinking,0.06390944961262636
hour,0.06379424555744362
theres,0.061835776619337
pretty,0.06137496039860603
lost,0.06128855735721898
id,0.060827741136488006
story,0.05999251173641312
almost,0.05901327726735981
past,0.05892687422597275
able,0.05892687422597275
leave,0.0588404711845857
depressed,0.05861006307422021
place,0.05855246104662884
might,0.05817804786728493
mean,0.057429221508597104
part,0.056882002246479074
relationship,0.05685320123268339
mind,0.05656519109472653
dad,0.05616197690158693
start,0.05575876270844734
real,0.05572996169465165
already,0.054117104922093255
sleep,0.053598686673770914
wrong,0.05336827856340543
sorry,0.05336827856340543
death,0.05308026842544858
money,0.05236024308055644
scared,0.05227384003916938
sad,0.05201463091500821
used,0.051841824832234096
next,0.051525013680481555
head,0.051381008611503125
thank,0.0504305751562455
guess,0.05034417211485844
finally,0.05011376400449296
kind,0.04985455488033179
understand,0.04956654474237493
talking,0.049220932576826706
making,0.04907692750784828
kid,0.04904812649405259
gonna,0.048385703176751824
found,0.048385703176751824
man,0.047896085942225164
matter,0.04780968290083811
house,0.04691685147317186
sometime,0.04685924944558049
call,0.046628841335215
show,0.04631203018346246
college,0.04590881599032286
high,0.045620805852366005
ask,0.045563203824774634
yet,0.04524639267302209
happen,0.045217591659226404
least,0.045159989631635034
